[24/01/2018 | 15:50:34] |                                 |         |              |  ::  | CFTPR001I New Automap process [ContentFiltering] has started. InstanceID [f126609a-3582-4af5-9bcb-3ca97597fad8].
[24/01/2018 | 15:50:35] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR001I New V2FS transfer rule started: [Vault{DCAMainVault}\Safe{ddddddd}\Root\*] ===> [C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd\.]
[24/01/2018 | 15:50:35] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR051I Rule found no files to transfer.
[24/01/2018 | 15:50:35] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR010I Transfer rule completed successfully. ([Files succeeded: 0] [Files warned: 0])
[24/01/2018 | 15:50:40] |                                 |         |              |  ::  | CFTPR010I Process [ContentFiltering] completed successfully ([Rules succeeded: 1] [Rules warned: 0])
[24/01/2018 | 15:50:55] |                                 |         |              |  ::  | CFTPR001I New Automap process [ContentFiltering] has started. InstanceID [6e21726d-e8d3-4119-9259-c9f93ffeb165].
[24/01/2018 | 15:50:55] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR001I New V2FS transfer rule started: [Vault{DCAMainVault}\Safe{ddddddd}\Root\*] ===> [C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd\.]
[24/01/2018 | 15:50:55] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [ R  1] | [F001]       |  ::  | CFTXF001I New V2FS transfer file started: TransferFileID=[7606c024-bc82-41e2-974d-e11225bfa081] [Vault{DCAMainVault}\Safe{ddddddd}\Root\New Text Document.txt] ===> [C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd\New Text Document.txt] , (tid= 15804)
[24/01/2018 | 15:50:55] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [ R  1] | [F001]       |  ::  | Exec cmd line: "C:\Program Files (x86)\CyberArk\DCA\UserExits\scan.cmd" "C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd\New Text Document.txt" "New Text Document.txt"
[24/01/2018 | 15:50:56] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [ R  1] | [F001]       |  ::  | RC: (0) - Valid. File Name: New Text Document.txt
[24/01/2018 | 15:50:56] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [ R  1] | [F001]       |  ::  | CFTUE015I Dll user exit [PreNonDuplication] in dll [UserExitDll1] finished successfully.
