[06/08/2015 | 10:40:03.884634] | {pid= 1628} | {tid=     1348} |  ::  | EPVWA004I Application version [9.3.0 (9.30.0.290)] start
[06/08/2015 | 11:13:44.272418] | {pid= 1628} | {tid=     1436} |  ::  | EPVWA005I Application end
[06/08/2015 | 11:16:05.285722] | {pid= 2536} | {tid=     2592} |  ::  | EPVWA004I Application version [9.3.0 (9.30.0.290)] start
[07/08/2015 | 16:15:46.183407] | {pid= 2536} | {tid=     2384} |  ::  | EPVWA005I Application end
[07/08/2015 | 16:15:53.558643] | {pid= 3716} | {tid=     3812} |  ::  | EPVWA004I Application version [9.3.0 (9.30.0.290)] start
[08/08/2015 | 21:15:50.195295] | {pid= 3716} | {tid=     3052} |  ::  | EPVWA005I Application end
[08/08/2015 | 21:15:54.881659] | {pid= 1908} | {tid=     2984} |  ::  | EPVWA004I Application version [9.3.0 (9.30.0.290)] start
[10/08/2015 | 02:15:52.338395] | {pid= 1908} | {tid=     3152} |  ::  | EPVWA005I Application end
[10/08/2015 | 02:16:01.297586] | {pid= 1124} | {tid=     2536} |  ::  | EPVWA004I Application version [9.3.0 (9.30.0.290)] start
[10/08/2015 | 14:26:13.139192] | {pid= 1124} | {tid=     3460} |  ::  | EPVWA005I Application end
[10/08/2015 | 14:28:18.820581] | {pid= 2616} | {tid=     2668} |  ::  | EPVWA004I Application version [9.3.0 (9.30.0.290)] start
[10/08/2015 | 14:28:44.871758] | {pid= 2616} | {tid=     2744} |  ::  | EPVWA005I Application end
[10/08/2015 | 14:28:53.368412] | {pid= 1784} | {tid=     2632} |  ::  | EPVWA004I Application version [9.3.0 (9.30.0.290)] start
[10/08/2015 | 16:03:07.028753] | {pid= 1784} | {tid=     5348} |  ::  | EPVWA005I Application end
[10/08/2015 | 16:03:22.753883] | {pid= 5620} | {tid=     2504} |  ::  | EPVWA004I Application version [9.3.0 (9.30.0.290)] start
[11/08/2015 | 21:03:20.280551] | {pid= 5620} | {tid=     5888} |  ::  | EPVWA005I Application end
[11/08/2015 | 21:03:25.525760] | {pid= 6128} | {tid=     5472} |  ::  | EPVWA004I Application version [9.3.0 (9.30.0.290)] start
[13/08/2015 | 02:03:22.945447] | {pid= 6128} | {tid=     2812} |  ::  | EPVWA005I Application end
[13/08/2015 | 02:03:28.205358] | {pid= 5592} | {tid=     3076} |  ::  | EPVWA004I Application version [9.3.0 (9.30.0.290)] start
[14/08/2015 | 07:03:25.712985] | {pid= 5592} | {tid=     3912} |  ::  | EPVWA005I Application end
[14/08/2015 | 07:03:30.526231] | {pid= 5996} | {tid=     5360} |  ::  | EPVWA004I Application version [9.3.0 (9.30.0.290)] start
[15/08/2015 | 12:03:28.071748] | {pid= 5996} | {tid=     6040} |  ::  | EPVWA005I Application end
[15/08/2015 | 12:03:32.972032] | {pid= 5296} | {tid=     5620} |  ::  | EPVWA004I Application version [9.3.0 (9.30.0.290)] start
[15/08/2015 | 15:28:30.617980] | {pid= 5296} | {tid=     3052} |  ::  | EPVWA005I Application end
