[31/01/2016 | 09:28:57.319467] | {pid= 2464} | {tid=      644} |  ::  | IW022E Error authenticating request. Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:28:57.319746] | {pid= 2464} | {tid=      644} |  ::  | IW022E Error authenticating request. Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:28:57.319995] | {pid= 2464} | {tid=      644} |  ::  | CASW029D ------------ STARTING Authorize Request --------------
[31/01/2016 | 09:28:57.320155] | {pid= 2464} | {tid=      644} |  ::  | CASW050D ------------ ENDING Authorize Request --------------
[31/01/2016 | 09:28:57.342918] | {pid= 2464} | {tid=     2424} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:28:57.342974] | {pid= 2464} | {tid=      644} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:28:57.343177] | {pid= 2464} | {tid=     2424} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:28:57.343218] | {pid= 2464} | {tid=      644} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:28:57.343431] | {pid= 2464} | {tid=     2424} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:28:57.343495] | {pid= 2464} | {tid=      644} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:28:57.343670] | {pid= 2464} | {tid=     2424} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:28:57.343724] | {pid= 2464} | {tid=      644} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:28:57.343889] | {pid= 2464} | {tid=     2424} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:28:57.343946] | {pid= 2464} | {tid=      644} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
